"SCHOOL_YEAR","SYSTEM_ID","ORIGINAL_SCHOOL_ID","CHANGE_TYPE","SYSTEM_ID2","NEW_ID","GRADES","CHANGE_DESC"
"2019-2020","661","0112","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","661","0212","5","Reconfiguration"
"2019-2020","661","0113","SCHOOL_SPECIAL_CASE_RECONFIGURE","661","0113","PK,K,1,2,3,4,5","Reconfiguration"
"2019-2020","661","0212","SCHOOL_SPECIAL_CASE_RECONFIGURE","661","0212","PK,K,1,2,3,4,5","Reconfiguration"
"2018-2019","662","0196","SCHOOL_SPLIT","662","0197","","Split"
"2018-2019","662","0196","SCHOOL_SPLIT","662","0196","","Split"
"2018-2019","666","0201","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","666","0101","6,7,8","Reconfiguration"
"2018-2019","666","0201","SCHOOL_SPECIAL_CASE_RECONFIGURE","666","0201","K,1,2,3,4,5","Reconfiguration"
"2019-2020","666","0101","SCHOOL_SPECIAL_CASE_RECONFIGURE","666","0101","4,5,6,7,8","Reconfiguration"
"2019-2020","666","0109","SCHOOL_SPLIT","666","0402","","Split"
"2019-2020","666","0109","SCHOOL_SPLIT","666","0109","","Split"
"2019-2020","666","0201","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","666","0101","4,5","Reconfiguration"
"2019-2020","666","0201","SCHOOL_SPECIAL_CASE_RECONFIGURE","666","0201","K,1,2,3","Reconfiguration"
"2019-2020","666","0301","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","666","0101","4,5","Reconfiguration"
"2021-2022","666","0201","SCHOOL_SPECIAL_CASE_RECONFIGURE","666","0201","4,5,6,7","Reconfiguration"
"2021-2022","666","0201","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","666","0401","8","Reconfiguration"
"2021-2022","666","0301","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","666","0201","PK,1,2,3","Reconfiguration"
"2021-2022","666","0301","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","666","0301","PK-5","Closure"
"2018-2019","669","0112","SCHOOL_SPLIT","669","0393","","Split"
"2018-2019","669","0112","SCHOOL_SPLIT","669","0112","","Split"
"2020-2021","676","1050","SCHOOL_SPLIT","676","0401","","Split"
